Username|Games|Min_ELO|Max_ELO
AndrejNikita|12|872|892
tharushi2016|37|990|1375
kopru55|16|1372|1473
kpio|12|1049|1116
Buddhi17|17|811|1500
Ga3far96|31|983|1123
Fco-Marcos-1|25|1246|1295
majd1003|19|1058|1119
Octopus_Might|11|1291|1338
chessshan|16|1162|1200
Ash1234567891|12|995|1500
ramirovw|18|961|1010
Timae24|13|781|805
Haythoom1988|12|1178|1251
Fab6727|71|951|1111
Wise1025|42|1026|1148
SebFli|34|1153|1267
nasadil|12|886|953
trak61|18|1142|1192
Nafih23|45|1163|1199
MasterBO0x_x0|16|962|1099
Xl_up1|15|1280|1324
mohamedelsayed111985|138|1057|1207
Fxzil07|39|1340|1375
Stockfish_level10|14|1173|1203
aravakula|14|1063|1121
ehs2|30|958|1250
sirigineeditej_7|14|668|763
Anderwot|33|1219|1268
basalca|23|1205|1258
elfuelle69|10|1042|1100
M_Afiqah|18|1027|1132
butterflysrfre|13|1091|1142
rasheed344|11|999|1034
Taha00000|12|961|1020
hadvik|12|1056|1090
trevenc|241|1009|1095
AdrianaMonse|23|811|928
alex150314|23|933|1166
Karthavyan|10|843|896
canadillas|16|973|1025
yoisseca|43|1176|1234
bonbon1887|13|1145|1189
