1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 60+12: 1384 games (0.00%)
  - 2400+0: 1383 games (0.00%)
  - 300+20: 1335 games (0.00%)
  - 900+7: 1320 games (0.00%)
  - 60+6: 1309 games (0.00%)
  - 900+12: 1273 games (0.00%)
  - 960+3: 1245 games (0.00%)
  - 600+9: 1231 games (0.00%)
  - 540+9: 1214 games (0.00%)
  - 45+4: 1181 games (0.00%)
  - 180+15: 1132 games (0.00%)
  - 600+30: 1123 games (0.00%)
  - 900+4: 1121 games (0.00%)
  - 2700+15: 1121 games (0.00%)
  - 120+15: 1112 games (0.00%)
  - 540+5: 1086 games (0.00%)
  - 2700+45: 1084 games (0.00%)
  - 1800+2: 1082 games (0.00%)
  - 5400+0: 1075 games (0.00%)
  - 480+7: 1046 games (0.00%)
  - 900+30: 1046 games (0.00%)
  - 60+9: 1000 games (0.00%)
  - 1800+1: 992 games (0.00%)
  - 2700+30: 986 games (0.00%)
  - 15+5: 961 games (0.00%)
  - 900+25: 955 games (0.00%)
  - 1020+0: 917 games (0.00%)
  - 1080+10: 912 games (0.00%)
  - 420+15: 887 games (0.00%)
  - 480+9: 877 games (0.00%)
  - 660+11: 854 games (0.00%)
  - 1020+3: 850 games (0.00%)
  - 720+10: 841 games (0.00%)
  - 840+14: 834 games (0.00%)
  - 840+15: 818 games (0.00%)
  - 90+5: 810 games (0.00%)
  - 60+13: 799 games (0.00%)
  - 60+15: 798 games (0.00%)
  - 45+5: 788 games (0.00%)
  - 540+4: 774 games (0.00%)
  - 900+6: 769 games (0.00%)
  - 600+12: 754 games (0.00%)
  - 1500+15: 729 games (0.00%)
  - 2700+3: 729 games (0.00%)
  - 1200+4: 729 games (0.00%)
  - 360+10: 724 games (0.00%)
  - 3600+60: 720 games (0.00%)
  - 240+8: 720 games (0.00%)
  - 360+8: 713 games (0.00%)
  - 1080+0: 705 games (0.00%)
  - 720+2: 699 games (0.00%)
  - 2400+10: 687 games (0.00%)
  - 180+9: 681 games (0.00%)
  - 720+4: 677 games (0.00%)
  - 0+9: 673 games (0.00%)
  - 420+6: 667 games (0.00%)
  - 120+13: 660 games (0.00%)
  - 120+9: 650 games (0.00%)
  - 900+9: 649 games (0.00%)
  - 540+2: 647 games (0.00%)
  - 480+15: 642 games (0.00%)
  - 1200+6: 629 games (0.00%)
  - 360+7: 615 games (0.00%)
  - 3600+3: 607 games (0.00%)
  - 1500+20: 605 games (0.00%)
  - 1200+30: 591 games (0.00%)
  - 2400+30: 591 games (0.00%)
  - 30+5: 578 games (0.00%)
  - 90+10: 577 games (0.00%)
  - 15+40: 571 games (0.00%)
