TimeControl,Count,Proportion (%)
"600+17",414,0.00
"660+5",410,0.00
"360+12",406,0.00
"2100+3",402,0.00
"900+16",394,0.00
"1800+12",385,0.00
"0+15",384,0.00
"60+20",380,0.00
"600+25",377,0.00
"2700+5",377,0.00
"300+17",376,0.00
"2700+20",371,0.00
"180+30",368,0.00
"3600+20",366,0.00
"90+4",363,0.00
"30+10",361,0.00
"540+6",361,0.00
"1020+7",361,0.00
"900+11",360,0.00
"840+6",357,0.00
"15+11",356,0.00
"3600+5",354,0.00
"1080+14",352,0.00
"1500+7",348,0.00
"2100+10",345,0.00
"660+15",344,0.00
"300+180",344,0.00
"1200+9",342,0.00
"300+11",340,0.00
"540+1",340,0.00
"1200+14",339,0.00
"1080+3",337,0.00
"300+13",332,0.00
"30+6",331,0.00
"1800+45",330,0.00
"780+10",328,0.00
"0+6",326,0.00
"0+40",325,0.00
"2100+30",322,0.00
"5400+2",319,0.00
"2100+5",319,0.00
"1800+6",316,0.00
"660+10",310,0.00
"1020+10",306,0.00
"30+12",306,0.00
"900+60",304,0.00
"840+16",304,0.00
"600+180",300,0.00
"720+12",299,0.00
"900+45",290,0.00
"420+9",281,0.00
"660+8",279,0.00
"840+1",279,0.00
"540+7",279,0.00
"780+4",278,0.00
"15+6",276,0.00
"960+10",275,0.00
"240+10",272,0.00
"1800+18",265,0.00
"600+11",262,0.00
"1800+25",262,0.00
"840+4",259,0.00
"90+7",258,0.00
"1200+13",256,0.00
"1500+30",252,0.00
"0+180",250,0.00
"300+14",249,0.00
"660+6",249,0.00
"960+16",246,0.00
"5400+3",242,0.00
"2400+5",239,0.00
"900+40",237,0.00
"480+12",235,0.00
"720+7",231,0.00
"2400+20",230,0.00
"840+5",230,0.00
"360+20",230,0.00
"660+1",228,0.00
"2100+20",227,0.00
"45+6",227,0.00
"300+45",226,0.00
"660+7",226,0.00
"1800+180",225,0.00
"1080+6",224,0.00
"1500+6",219,0.00
"0+30",219,0.00
